iter	Passed	Remaining
399	120827	181241
400	121051	180822
401	121289	180425
402	121558	180075
403	121825	179723
404	122060	179323
405	122317	178957
406	122645	178695
407	122893	178315
408	123158	177962
409	123408	177587
410	123612	177147
411	124050	177043
412	124324	176703
413	124572	176327
414	124834	175970
415	125096	175616
416	125317	175203
417	125548	174806
418	125820	174466
419	126061	174085
420	126276	173668
421	126495	173257
422	126756	172904
423	127026	172564
424	127269	172187
425	127554	171869
426	127807	171507
427	128047	171129
428	128311	170782
429	128559	170416
430	129030	170344
431	129314	170024
432	129566	169662
433	129798	169275
434	130025	168884
435	130286	168535
436	130524	168158
437	130790	167817
438	131094	167526
439	131342	167163
440	131637	166860
441	131882	166493
442	132117	166116
443	132371	165762
444	132618	165400
445	132967	165165
446	133445	165090
447	134158	165302
448	134550	165116
449	134903	164882
450	135499	164942
451	135961	164837
452	136465	164782
453	136806	164529
454	137271	164423
455	137831	164431
456	138295	164320
457	138661	164092
458	139473	164390
459	139807	164121
460	140157	163871
461	140556	163678
462	140933	163458
463	141343	163275
464	141774	163116
465	142192	162941
466	142632	162790
467	142937	162483
468	143319	162266
469	144006	162390
470	144560	162361
471	145015	162220
472	145454	162059
473	145895	161901
474	146248	161643
475	146657	161446
476	147091	161276
477	147497	161074
478	147832	160794
479	148190	160539
480	148545	160280
481	149339	160493
482	150070	160634
483	150616	160574
484	150973	160312
485	151374	160095
486	151887	159996
487	152356	159849
488	152648	159516
489	153165	159417
490	153537	159166
491	154137	159149
492	154554	158943
493	154880	158642
494	155236	158372
495	155501	158009
496	155723	157603
497	155907	157160
498	156136	156762
499	156359	156359
500	156559	155934
501	156821	155571
502	157203	155327
503	157462	154962
504	157761	154637
505	158047	154299
506	158385	154011
507	158633	153637
508	159055	153430
509	159307	153059
510	159515	152647
511	159825	152333
512	160071	151958
513	160329	151595
514	160549	151197
515	160752	150783
516	161002	150414
517	161269	150061
518	161508	149682
519	161801	149355
520	162103	149035
521	162371	148684
522	162697	148387
523	163005	148074
524	163305	147752
525	163640	147463
526	164080	147267
527	164357	146925
528	164610	146562
529	164881	146215
530	165152	145869
531	165434	145533
532	165747	145223
533	165980	144844
534	166232	144482
535	166498	144133
536	166784	143801
537	167056	143457
538	167413	143187
539	167698	142854
540	167975	142514
541	168237	142163
542	168463	141782
543	168744	141447
544	169242	141294
545	169483	140925
546	169754	140583
547	169990	140210
548	170282	139885
549	170496	139497
550	170762	139151
551	171046	138820
552	171269	138440
553	171513	138077
554	171772	137727
555	172054	137396
556	172379	137098
557	172613	136729
558	172831	136348
559	173149	136046
560	173384	135678
561	173639	135327
562	174067	135110
563	174344	134776
564	174609	134433
565	174872	134089
566	175163	133766
567	175451	133442
568	175703	133089
569	175916	132708
570	176196	132378
571	176433	132016
572	176721	131692
573	176978	131346
574	177238	131002
575	177494	130655
576	177798	130344
577	178076	130014
578	178333	129669
579	178638	129359
580	179203	129236
581	179443	128878
582	179769	128583
583	180038	128246
584	180352	127942
585	180625	127608
586	180886	127267
587	181170	126942
588	181500	126649
589	181772	126316
590	182037	125978
591	182517	125789
592	182823	125479
593	183095	125146
594	183413	124844
595	183692	124516
596	184161	124316
597	184448	123993
598	184709	123653
599	184918	123279
600	185156	122924
601	185453	122609
602	185700	122260
603	185997	121945
604	186295	121630
605	186571	121302
606	186782	120931
607	187012	120573
608	187283	120242
609	187565	119919
610	187828	119582
611	188195	119313
612	188473	118987
613	189061	118856
614	189233	118463
615	189493	118126
616	189730	117774
617	190009	117449
618	190250	117101
619	190463	116735
620	190718	116396
621	191030	116092
622	191252	115733
623	191543	115417
624	191801	115080
625	192016	114719
626	192251	114369
627	192590	114082
628	192812	113725
629	193079	113396
630	193352	113069
631	193651	112758
632	194024	112491
633	194304	112169
634	194564	111836
635	194808	111494
636	195055	111153
637	195291	110808
638	195522	110459
639	195757	110113
640	196017	109782
641	196224	109421
642	196451	109071
643	196694	108731
644	196932	108388
645	197151	108036
646	197442	107723
647	197676	107379
648	197953	107059
649	198207	106726
650	198429	106377
651	198692	106050
652	199065	105782
653	199271	105424
654	199539	105100
655	199756	104750
656	200019	104424
657	200262	104087
658	200499	103748
659	200745	103414
660	200974	103071
661	201256	102756
662	201492	102417
663	201684	102057
664	201909	101713
665	202120	101363
666	202390	101043
667	202689	100737
668	202917	100397
669	203139	100053
670	203394	99726
671	203647	99399
672	203906	99075
673	204274	98803
674	204549	98486
675	204826	98171
676	205051	97831
677	205303	97504
678	205537	97168
679	205827	96860
680	206090	96538
681	206312	96198
682	206590	95884
683	206860	95567
684	207119	95244
685	207331	94901
686	207557	94564
687	207793	94231
688	208050	93909
689	208368	93614
690	208602	93282
691	208864	92962
692	209320	92729
693	209540	92391
694	209808	92074
695	210146	91788
696	210376	91455
697	210634	91134
698	210890	90812
699	211140	90488
700	211410	90173
701	211668	89853
702	211930	89535
703	212180	89212
704	212466	88904
705	212689	88570
706	212958	88255
707	213228	87941
708	213500	87628
709	213800	87327
710	214241	87082
711	214472	86753
712	214767	86449
713	215068	86147
714	215347	85838
715	215567	85504
716	215778	85167
717	216038	84850
718	216322	84543
719	216560	84217
720	216820	83901
721	217019	83561
722	217264	83239
723	217554	82935
724	217841	82629
725	218059	82298
726	218294	81972
727	218621	81682
728	218836	81350
729	219271	81100
730	219543	80789
731	219737	80450
732	219992	80133
733	220205	79802
734	220443	79479
735	220688	79160
736	220984	78858
737	221252	78547
738	221523	78237
739	221738	77908
740	221939	77574
741	222205	77262
742	222453	76945
743	222735	76640
744	222969	76318
745	223207	75998
746	223473	75687
747	223704	75365
748	223912	75035
749	224379	74793
750	224684	74495
751	224908	74171
752	225127	73846
753	225366	73528
754	225657	73226
755	225939	72922
756	226199	72611
757	226455	72298
758	226704	71984
759	226983	71679
760	227246	71369
761	227486	71052
762	227721	70734
763	227973	70421
764	228189	70097
765	228454	69788
766	228701	69475
767	228850	69132
768	229270	68870
769	229491	68549
770	229720	68230
771	230026	67935
772	230270	67621
773	230493	67301
774	230734	66987
775	230975	66673
776	231208	66357
777	231462	66047
778	231768	65752
779	232043	65448
780	232305	65140
781	232514	64818
782	232779	64512
783	233003	64194
784	233224	63876
785	233485	63569
786	233755	63265
787	234004	62955
788	234397	62684
789	234642	62373
790	234872	62058
791	235144	61755
792	235377	61441
793	235617	61129
794	235841	60814
795	236101	60508
796	236376	60206
797	236661	59906
798	236940	59605
799	237185	59296
800	237438	58989
801	237734	58692
802	237977	58382
803	238235	58077
804	238473	57766
805	238735	57462
806	238985	57155
807	239428	56893
808	239685	56588
809	239925	56278
810	240191	55975
811	240463	55673
812	240734	55371
813	241018	55073
814	241275	54768
815	241571	54472
816	241844	54170
817	242095	53864
818	242297	53547
819	242538	53240
820	242774	52931
821	243014	52623
822	243214	52307
823	243446	51998
824	243702	51694
825	243964	51392
826	244317	51108
827	244697	50830
828	244928	50522
829	245166	50214
830	245427	49912
831	245697	49611
832	245964	49311
833	246237	49011
834	246452	48700
835	246721	48399
