iter	Logloss
0	0.614633619
1	0.5493378072
2	0.4932139377
3	0.4461172975
4	0.4063130108
5	0.3746181566
6	0.3495369984
7	0.3285392021
8	0.3113440476
9	0.2970256066
10	0.2818848328
11	0.2704819712
12	0.258916375
13	0.2490503621
14	0.2399849908
15	0.2309551053
16	0.2229458997
17	0.2156205733
18	0.2134284434
19	0.2089443591
20	0.2045709747
21	0.2006059285
22	0.1969985685
23	0.1940942772
24	0.1916116055
25	0.1891616707
26	0.1872856429
27	0.1856463828
28	0.1839512207
29	0.1824628929
30	0.1810355004
31	0.1799015783
32	0.179090427
33	0.1780369995
34	0.1773629312
35	0.1765293512
36	0.1754128521
37	0.1743368409
38	0.1736913726
39	0.1733706737
40	0.1726442016
41	0.1718029555
42	0.171438649
43	0.1709935456
44	0.1704391116
45	0.1697341826
46	0.1691251288
47	0.1684902932
48	0.1679361732
49	0.1676144214
50	0.1672774722
51	0.166796778
52	0.1664600701
53	0.1658852629
54	0.1656213229
55	0.1652523497
56	0.1648208659
57	0.1644586389
58	0.1639121167
59	0.1636760283
60	0.1634140719
61	0.1631696421
62	0.1626230173
63	0.1623737884
64	0.1621061242
65	0.1619906956
66	0.161829052
67	0.1616091741
68	0.1614551586
69	0.1612311137
70	0.1610554622
71	0.1607083646
72	0.1605176815
73	0.1603594966
74	0.1602357673
75	0.1600972811
76	0.1597969793
77	0.1596405136
78	0.1595145528
79	0.1594275104
80	0.1592562764
81	0.1590698216
82	0.1588978407
83	0.1587478732
84	0.1586657785
85	0.1585315778
86	0.1583669771
87	0.158226438
88	0.1581032499
89	0.1580303754
90	0.157892053
91	0.1576878615
92	0.1576556909
93	0.1574482051
94	0.1572832581
95	0.1572411708
96	0.1569460054
97	0.1568838789
98	0.1566762336
99	0.1564093781
100	0.156266836
101	0.1561918467
102	0.1560583506
103	0.1558999085
104	0.1558099923
105	0.1557272765
106	0.1556323608
107	0.1555714236
108	0.1554841853
109	0.1553811296
110	0.1551468606
111	0.1549544854
112	0.1548971721
113	0.1546540876
114	0.1545627413
115	0.1544162704
116	0.1543158432
117	0.1541554624
118	0.1540383387
119	0.1540240202
120	0.1539747732
121	0.1539218886
122	0.1538529545
123	0.1537873532
124	0.1536916183
125	0.1535757568
126	0.1535010369
127	0.1534746903
128	0.1533749907
129	0.1532409915
130	0.1531865792
131	0.1531865784
132	0.1531255809
133	0.152939963
134	0.1529025768
135	0.1527438132
136	0.1526544552
137	0.1525414016
138	0.1524947273
139	0.1524187158
140	0.1523800025
141	0.1523266302
142	0.1522427877
143	0.1521861331
144	0.1521383294
145	0.1520585829
146	0.1519671379
147	0.1518142118
148	0.1517444117
149	0.1516959161
150	0.1516125885
151	0.1515496997
152	0.1514832523
153	0.1514580065
154	0.1514360511
155	0.1514052696
156	0.1513476275
157	0.1512847506
158	0.1512040785
159	0.1511345226
160	0.1511070929
161	0.1510638012
162	0.1510248986
163	0.1509892736
164	0.1508793493
165	0.1508321459
166	0.1508130976
167	0.1507499211
168	0.1506244524
169	0.1505760353
170	0.1505396103
171	0.1505096755
172	0.1504869051
173	0.1504471478
174	0.1503817183
175	0.1502451966
176	0.1500974818
177	0.1500712744
178	0.1500575656
179	0.1499877158
180	0.1498924455
181	0.1498318864
182	0.1498241205
183	0.1497681583
184	0.1497160275
185	0.149680437
186	0.1496117978
187	0.1495780664
188	0.1494240225
189	0.1493625546
190	0.149234336
191	0.1491986796
192	0.149157197
193	0.149127795
194	0.149019304
195	0.1489325401
196	0.1488454784
197	0.1488033838
198	0.1487656658
199	0.1487323283
200	0.1486312686
201	0.1485561597
202	0.1484827275
203	0.1484442062
204	0.1483789981
205	0.1483405262
206	0.1482718774
207	0.1481856253
208	0.1481228524
209	0.1480765996
210	0.1480323422
211	0.1479730853
212	0.1478889482
213	0.1478821014
214	0.1478649015
215	0.1477646213
216	0.1476447256
217	0.1475550378
218	0.147516822
219	0.1474583083
220	0.1473598897
